Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
ABHD16A,ENSG00000204427,2.51656543936996e-7,0.815535276862112,7.23857036533104e-8,0.000326873017973125,
HLA-B,ENSG00000234745,3.9496821846452e-7,0.853051472711505,2.9358701758575e-7,-0.000178861033394127,
CUX2,ENSG00000111249,8.14012665606434e-7,0.0000157459934451154,0.00000247313187351494,-0.00542170471565715,
HECTD4,ENSG00000173064,9.49061946586838e-7,0.0000157038173904667,0.00000176540776475331,-0.00402896943945734,
MAS1L,ENSG00000204687,0.00000195870447117219,0.0000220381296697214,0.00000199855316052044,0.005457413438944,
NCR3,ENSG00000204475,0.00000754934835978105,0.00000621007608436752,0.0000147312785485632,0.00708916309260159,
SYN2,ENSG00000157152,0.00000874180452026252,0.00268422285937553,0.00000380929605292568,0.0142419124335938,
HLA-DOA,ENSG00000204252,0.0000138998246529409,0.896130568437543,0.00000861313541244968,0.000157129306755457,
TAGLN,ENSG00000149591,0.0000197393574833393,0.00176926527714305,0.0000177993907788387,-0.0097884247067578,
NOD2,ENSG00000167207,0.0000198582929877844,0.015180681683563,0.0000148078004481578,0.00423091800223666,
PAGE1,ENSG00000068985,0.0000265381756496819,0.0000257381458452777,0.0000425168040056878,0.0095050755953637,
NUPR1,ENSG00000176046,0.0000324389388359769,0.0160068624128191,0.0000263021946962372,0.0272480732847358,
DHX16,ENSG00000204560,0.0000365718862803677,0.0459169597038681,0.0000305635910682334,-0.00379238196769994,
OR5V1,ENSG00000243729,0.0000544650192377816,0.294599532181615,0.0000227385809716818,0.00142598014095614,
MSH5-SAPCD1,ENSG00000255152,0.000059348121045133,0.0535118077569631,0.0000256365412015791,0.00898809869660896,
MSH5,ENSG00000204410,0.0000613200979284745,0.0958553586842419,0.0000270165012115076,0.0078718976993526,
C6orf15,ENSG00000204542,0.0000629202588746658,0.167183687331839,0.0000527268531264058,-0.00264652727145824,
DDAH2,ENSG00000213722,0.000071434045512464,0.0365588947588902,0.0000509023275152565,-0.00431061746070168,
EHMT2,ENSG00000204371,0.0000720735569835762,0.00055592399523019,0.0000783901723229175,-0.00613538331347715,
HLA-DPA1,ENSG00000231389,0.0000783947612891245,0.0000756447503879043,0.00145585141829752,-0.00325846331573972,
SLC39A7,ENSG00000112473,0.0000816363442308621,0.173246591735713,0.0000356127568659215,0.00290830180470942,
PPP1R10,ENSG00000204569,0.0000860932294571848,0.00192837509836052,0.0000610310488311505,0.00486098079219793,
ACSL4,ENSG00000068366,0.0000907117213950759,0.00965883484218399,0.0000479215711883807,0.0181484376574623,
PRR29,ENSG00000224383,0.000113860605022054,0.0188011156460858,0.000052094766019195,0.0227363266157224,
PDZK1,ENSG00000174827,0.000141505376917817,0.000422139510409592,0.000329699086683566,0.02567420351915,
NRM,ENSG00000137404,0.000160178723052407,0.000191066580607857,0.000158929423153764,0.00985622998475464,
HSD11B2,ENSG00000176387,0.000180909742907187,0.00104218261370381,0.000172949556222268,0.00457748080595335,
TAP2,ENSG00000204267,0.000211977470449098,0.0615177957825287,0.0000902616400226819,-0.00233605481484756,
AGR3,ENSG00000173467,0.00023120059126458,0.00685780135159741,0.000207556166066603,0.0322380049347455,
HLA-DRA,ENSG00000204287,0.000233463297597991,0.00021404124183122,0.000856299330005306,-0.0101134358575938,
MUC22,ENSG00000261272,0.000237840958218882,0.348920556059098,0.000120803377503753,-0.000767899670657085,
AL669918.1,ENSG00000250264,0.000240577525292607,0.0189553140920014,0.000117102887231324,-0.00227351898962536,
MUCL3,ENSG00000168631,0.000277533809866837,0.000438501588504892,0.00044547419777019,0.00700100305790553,
AARSD1,ENSG00000266967,0.000324901204076911,0.0112355687517682,0.00021556913094789,0.00590853112711661,
OR10C1,ENSG00000206474,0.000325974590935418,0.00166519579718172,0.000286296058788382,0.00262196485846111,
TINF2,ENSG00000092330,0.000327960061218935,0.000156424239553754,0.0177800847690379,-0.00798035197563238,
BCLAF3,ENSG00000173681,0.00038597425313025,0.00164193691901637,0.000406488388628556,0.0203652347553966,
AGRP,ENSG00000159723,0.000426219339164091,0.0331704953475496,0.000213204753189644,0.00445971628199261,
OR2H1,ENSG00000204688,0.000442486596332281,0.00548545249862631,0.000371481554054087,0.00344368806986812,
SPATA6L,ENSG00000106686,0.000453732194058754,0.00044702543637809,0.000595285403048207,0.0117443966767025,
PTGES3L-AARSD1,ENSG00000108825,0.000459164433287751,0.150745331523378,0.000260497364282575,0.00281580383861426,
PSMA6,ENSG00000100902,0.000490963017975798,0.00505495798874545,0.000293420387512455,0.00545388946139373,
MCM10,ENSG00000065328,0.000557592416326691,0.00024935684749694,0.0193877019791571,0.00582046809093028,
GPRC5A,ENSG00000013588,0.000623785887877926,0.628069170146438,0.000388789556640678,0.000975470840615919,
RBM17,ENSG00000134453,0.000624534481958539,0.00256240165519594,0.000460355026132842,-0.00670387859020958,
TPPP3,ENSG00000159713,0.000631950376357215,0.000683379093701864,0.000620767627521279,0.00497445094484619,
AL645922.1,ENSG00000244255,0.00063872335961046,0.000635171754169828,0.00153542128412898,-0.00384102621664227,
TPBG,ENSG00000146242,0.000660741723896074,0.000565996549633851,0.00249836977961015,0.0110533084070409,
MDC1,ENSG00000137337,0.000688253147246076,0.509990803277956,0.000397099397166256,0.000362469738507481,
TRIL,ENSG00000255690,0.000732549191104437,0.0147533488412939,0.000597036512406612,0.00495647455690648,
GDE1,ENSG00000006007,0.000735727758534144,0.000671078533114988,0.00307749718777839,0.00908097603502294,
OR2B6,ENSG00000124657,0.000743544593356571,0.0188310219521356,0.000686934836152897,-0.0053325277902722,
AL031315.1,ENSG00000285733,0.000772180738167316,0.00273836006168271,0.000734322041071156,0.00888361802043842,
CD101,ENSG00000134256,0.000825764304054788,0.00040691334050158,0.00695293516804329,0.00644261275488511,
AC110275.1,ENSG00000254673,0.000871715016619347,,,,
DDX42,ENSG00000198231,0.000916312121668983,0.285477387587895,0.000553676401103154,-0.00409108877252469,
GJB4,ENSG00000189433,0.000937244907452506,0.363842778134649,0.000590657414506812,0.00198878415257625,
LCAT,ENSG00000213398,0.000968595307005105,0.0156289556906906,0.000824180872334601,0.00662099194121492,
CTSF,ENSG00000174080,0.000974204941018852,0.000488791399333111,0.0803726757630499,0.0195716635840711,
BEX2,ENSG00000133134,0.000982753179019524,0.00192397247462839,0.000830693806002536,0.0355592777551336,
HLA-G,ENSG00000204632,0.00102529804422435,0.00407045761556057,0.00078765335565345,-0.00407780254253999,
NKX6-2,ENSG00000148826,0.00104687840273543,0.0609451618847463,0.000540810408805603,0.0109431394861726,
ADAM19,ENSG00000135074,0.00117006120836405,0.0186099281030645,0.00086420081420413,-0.00339191774797037,
CPNE2,ENSG00000140848,0.00124555936569637,0.00080224744324775,0.00222312425387439,0.00567511092954517,
MUC21,ENSG00000204544,0.00127322056344625,0.0329297716165302,0.000779313694521333,-0.00322210276521584,
RNASET2,ENSG00000026297,0.00133186542293595,0.0314442880626365,0.000864467641124245,0.00814952239837021,
MED8,ENSG00000159479,0.00136947672763632,0.00282645877769516,0.00131615288311338,-0.0125805969242568,
SLC12A6,ENSG00000140199,0.00141271524435094,0.409846880393607,0.000883135176341643,-0.00148437481365078,
FAM71C,ENSG00000180219,0.00145311999286768,0.0281882096261872,0.00129140182123022,-0.007594598744139,
POLR3C,ENSG00000186141,0.00146960434493082,0.000770133189242239,0.0191374640440458,0.0213909763131596,
TMEM243,ENSG00000135185,0.00148189188760395,0.0345489911989647,0.000721945728271667,0.0297622408953365,
FLT3,ENSG00000122025,0.00152550529596729,0.00575561965993843,0.000903389983968772,0.00427228694797132,
