Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
CHSY1,ENSG00000131873,0.00224105856126966,0.00107290547825456,0.0162013925207989,-0.02488308498229,
CSTF1,ENSG00000101138,0.00228211546134072,0.0474554468620345,0.00118358317800338,0.0732588372819913,
ACAD11,ENSG00000240303,0.00228948587169497,0.00246994757646313,0.00724717116869522,0.0338480563079753,
PLEKHM1,ENSG00000225190,0.00232683879204443,0.0962171046192646,0.00116357193313632,0.0186470403410486,
MUC22,ENSG00000261272,0.00233241834934794,0.0204591988724829,0.0014478974914699,0.00305809045166274,
ITGA3,ENSG00000005884,0.00234145853327061,0.00273550043991111,0.00377345073340551,0.0229184373559049,
REM2,ENSG00000139890,0.00236173504693238,0.00351565117929842,0.0043574889264173,0.0529471000937158,
GP9,ENSG00000169704,0.00242952888201498,0.256423685856571,0.00160515770934855,0.0190786529259939,
SAMD14,ENSG00000167100,0.00246035182209425,0.00230524772716678,0.0054742771352877,0.0361866157238617,
KRT24,ENSG00000167916,0.00246299972989783,0.222667723717403,0.00110127329003684,0.0161821540761005,
PRXL2B,ENSG00000157870,0.00247663956640798,0.15727042020486,0.0011577464071173,0.0289339303500754,
DDX23,ENSG00000174243,0.00247693358468648,0.0425690353715076,0.00136245507974064,0.0421690525098008,
PSMD7,ENSG00000103035,0.0025053189602211,0.337235155333648,0.00157382948555163,0.0199035023123249,
MCFD2,ENSG00000180398,0.00251800064084939,0.492258717559263,0.00124368160161192,0.0218463359836718,
EVX2,ENSG00000174279,0.0025393567617743,0.0248550294434482,0.0015984878422749,0.0222889638759038,
DLL4,ENSG00000128917,0.00263777579856528,0.0046888378516825,0.00357370560879633,0.0420406646674403,
ATP2B2,ENSG00000157087,0.0026619757698928,0.00204580267172338,0.00563737466240144,0.0273330862585366,
ZNF16,ENSG00000170631,0.00273264287702524,0.00155510393625591,0.153555537825904,0.0273200975035202,
HSPB7,ENSG00000173641,0.00282332163463384,0.0121228417890615,0.00269637111780874,0.0733301870367044,
JPT1,ENSG00000189159,0.00310195333964436,0.00300112419028775,0.00423090267379911,0.0463563570111955,
ZNF117,ENSG00000152926,0.00310266497220268,0.00176453766882656,0.0230350150512777,0.0399499597283681,
PSMD4,ENSG00000159352,0.00312914556974442,0.0554200384146704,0.00157941323890787,0.0695806852622385,
CAPN9,ENSG00000135773,0.00318497635640902,0.797680524521789,0.00167694271993057,0.00160592064812885,
OR2A14,ENSG00000221938,0.0032372197559557,0.0042749701801913,0.00618975720927817,0.0454410281011892,
PTCHD1,ENSG00000165186,0.00328807866220682,0.0406117704540341,0.00197007436173013,0.0405776318799705,
CCDC81,ENSG00000149201,0.00329306967611853,0.129455547633722,0.00220928990026636,0.00634766604318371,
TFCP2,ENSG00000135457,0.00330523656352222,0.0299263403952496,0.00203549061276043,0.0677600058594169,
ANKRD16,ENSG00000134461,0.00337402913684293,0.00308773945245511,0.00481291098312142,0.0194365473759541,
FIGLA,ENSG00000183733,0.00339174801244591,0.178265406736071,0.00176432476919164,0.0203239625211784,
RBM20,ENSG00000203867,0.00340249709427842,0.00211661078716818,0.0201486479440778,0.020825572865865,
OR10T2,ENSG00000186306,0.0034040388365657,0.00166922215501508,0.0732189378841666,0.0296988615751264,
TSC22D3,ENSG00000157514,0.00343045791324192,0.0582167717561173,0.00170375655554711,0.0667341033975359,
UPB1,ENSG00000100024,0.00343429446676213,0.055341333534987,0.00186060007575639,0.0296007081115667,
HHIP,ENSG00000164161,0.00343558941843292,0.00596293944436321,0.00390159854032457,0.0394949746038746,
MARCO,ENSG00000019169,0.00344089425253691,0.00272544509814487,0.0078277300309002,0.0199946005011789,
HNRNPD,ENSG00000138668,0.00348915376880166,0.286450969123938,0.00169043866729002,0.0309951883274324,
