Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
LIPA,ENSG00000107798,0.00270507487308225,0.134005778797027,0.00149480669859203,0.0190106004532692,
SYTL1,ENSG00000142765,0.00278859958504529,0.00196560468539997,0.0126393998184542,0.0215885770813054,
DCUN1D2,ENSG00000150401,0.00287472106589282,0.113223206825087,0.00137871007975976,0.0316033687853052,
TRIP10,ENSG00000125733,0.00293497206544246,0.0657729107539746,0.00154977296482395,0.0263197429846717,
ST8SIA5,ENSG00000101638,0.00293717719424202,0.00221397972329918,0.00934248784783476,0.0551771152896852,
LEF1,ENSG00000138795,0.00299093864515843,0.00215522687089864,0.00857468907472003,0.0979996317492513,
GOPC,ENSG00000047932,0.00300653616815205,0.00347575671776901,0.00367077913038916,0.0514805267087036,
HAO1,ENSG00000101323,0.00300869441182539,0.0102011694350561,0.00199664586444293,0.0340002892544721,
ITPR1,ENSG00000150995,0.0031226621231476,0.183287257131094,0.0014575890009052,0.0218986321519386,
DPP4,ENSG00000197635,0.00317931475228794,0.00326830952016666,0.00322333940518371,0.00813880783514681,
POU4F1,ENSG00000152192,0.00323343449840185,0.016925520304236,0.00289159681266726,0.0330898419074025,
CD1A,ENSG00000158477,0.00324511818595929,0.459325630633228,0.00156338010757229,0.00915165867848623,
THBS3,ENSG00000169231,0.00328848149554917,0.00162711145033656,0.070279140626704,0.0236309153906764,
CYP2A7,ENSG00000198077,0.00329418339404131,0.0729892332196433,0.00155700368193201,0.0175739984098418,
TMEM266,ENSG00000169758,0.00336301385936377,0.0733213599526367,0.00187456551984932,0.0261991284124038,
OPRK1,ENSG00000082556,0.00344326640152082,0.0288727089350853,0.00305235034754381,0.017506674713724,
KLHL2,ENSG00000109466,0.00346026373457031,0.00271176778977167,0.0429505163916932,0.0757094256068168,
MEOX2,ENSG00000106511,0.00347066176411714,0.00341705401601322,0.00373155535095127,-0.00454195169809067,
OIT3,ENSG00000138315,0.00347711245845672,0.204572693007862,0.00185158815255915,0.0189578659547815,
OTUD7A,ENSG00000169918,0.00349306760473556,0.00399958486679208,0.00480832453197855,0.103775195486093,
DNAH5,ENSG00000039139,0.00350347666586404,0.00185198050619073,0.827183545303931,-0.0134439176225089,
OSBPL11,ENSG00000144909,0.00361025288166716,0.0030264673472179,0.00920877846520152,0.0818950233154134,
WDFY4,ENSG00000128815,0.00365433457180042,0.00181831363220497,0.109203032473458,0.0243950888224766,
EPS15,ENSG00000085832,0.00365700315608264,0.0231129581110368,0.00233594898883327,0.0383470990333749,
HINT3,ENSG00000111911,0.00372202144405354,0.00386112431051977,0.00358704755481143,0.013963898048537,
MPZL3,ENSG00000160588,0.00375675097374595,0.0116475570221061,0.00334161064994265,0.0207574201932213,
RNGTT,ENSG00000111880,0.00381395749022462,0.00600900006448357,0.00460707789407233,0.0742777618267971,
MSH2,ENSG00000095002,0.00385658234335884,0.00295335883751191,0.0161977180161498,0.0635758226514072,
SMARCE1,ENSG00000073584,0.003944979219625,0.00297012915914519,0.00883914886194093,0.140792829762609,
UBAC1,ENSG00000130560,0.00400730156023932,0.0241201617353788,0.00262782505225678,0.0465529011105549,
BTNL2,ENSG00000204290,0.00405326918552162,0.00486250745886974,0.0037774323157056,0.0107187588575985,
FCER1A,ENSG00000179639,0.00410347389644961,0.215981505620114,0.00278315250411576,0.0264877082454867,
EIF3G,ENSG00000130811,0.00410663673549161,0.0120842773333352,0.00296667110709858,0.0497335566704021,
ADCY9,ENSG00000162104,0.00416480608281,0.00223941314520704,0.0373121320155311,0.0538145765509037,
FAM160A2,ENSG00000051009,0.00419967227388673,0.0290457567172457,0.00265031840049001,0.0597387780365,
EEFSEC,ENSG00000132394,0.0042086067233944,0.669194214099838,0.0027043235186287,0.00462680444637172,
ZNF800,ENSG00000048405,0.0042313680975824,0.00226187445987036,0.0132754814378777,0.146056145499415,
SYNPR,ENSG00000163630,0.00423458608942151,0.00361885272199691,0.0091278846895807,0.0913147444132065,
SLC35G6,ENSG00000259224,0.00429448274351285,0.0267616159167647,0.00318136917965572,0.0329754632880035,
ZBTB48,ENSG00000204859,0.00443938397294263,0.0106159754087904,0.00510986311211881,0.0506113196190404,
DUS4L,ENSG00000105865,0.00444922993932084,0.0551373198747876,0.00335904828397604,0.0169386607959437,
IRF2BP2,ENSG00000168264,0.00460391614196276,0.00906344105263712,0.0040743094701936,0.039576912729067,
TXLNB,ENSG00000164440,0.00470993519888019,0.00272751057191256,0.0193755880066413,0.0317635578283702,
